TestCase;ProcessesQty;ThreadsQty;FT_Type;Replicas;SamplesQty;Signal
-1;1;1;fft;30;16384;square_50Hz
0;1;1;dft;30;16384;square_50Hz
1;1;2;dft;30;16384;square_50Hz
2;1;4;dft;30;16384;square_50Hz
3;1;8;dft;30;16384;square_50Hz
4;1;16;dft;30;16384;square_50Hz
5;1;32;dft;30;16384;square_50Hz
6;1;64;dft;30;16384;square_50Hz
7;2;1;dft;30;16384;square_50Hz
8;4;1;dft;30;16384;square_50Hz
9;8;1;dft;30;16384;square_50Hz
10;16;1;dft;30;16384;square_50Hz
11;32;1;dft;30;16384;square_50Hz
12;64;1;dft;30;16384;square_50Hz
13;2;2;dft;30;16384;square_50Hz
14;4;4;;dft;30;16384;square_50Hz
15;8;8;;dft;30;16384;square_50Hz
16;16;16;dft;30;16384;square_50Hz
17;32;32;dft;30;16384;square_50Hz
18;64;64;dft;30;16384;square_50Hz
