Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.04769897;1.29785156;0.00519150;0.01525909
2.0;85.13574219;2.61114836;0.00519872;0.03066080
3.0;85.27931213;3.91992188;0.00521053;0.04593335
4.0;85.47509766;5.25106764;0.00522682;0.06135678
5.0;85.72389221;6.58764648;0.00524760;0.07669652
6.0;86.03137207;7.94117880;0.00527326;0.09204479
7.0;86.40649414;9.31372070;0.00530438;0.10737503
8.0;86.83833313;10.70990753;0.00534035;0.12271189
9.0;87.33387756;12.13305664;0.00538163;0.13804367
10.0;87.89286804;13.59135628;0.00542832;0.15342031
11.0;88.52661896;15.08154297;0.00548108;0.16874166
12.0;89.22977448;16.61144066;0.00553972;0.18405776
13.0;90.01052856;18.18847656;0.00560485;0.19938567
14.0;90.87257385;19.82101822;0.00567683;0.21475527
15.0;91.82059479;21.50744629;0.00575597;0.23008531
16.0;92.86021423;23.25763130;0.00584280;0.24541016
17.0;93.99946594;25.08148193;0.00593800;0.26075095
18.0;95.24234009;26.98224068;0.00604191;0.27606699
19.0;96.60253906;28.97943115;0.00615574;0.29144415
20.0;98.08496094;31.06813812;0.00627977;0.30674952
21.0;99.70285034;33.27130127;0.00641527;0.32208467
22.0;101.46946716;35.60127258;0.00656334;0.33743808
23.0;103.40026855;38.07073975;0.00672523;0.35278520
24.0;105.50837708;40.69343567;0.00690209;0.36810890
25.0;107.81915283;43.49542236;0.00709606;0.38344336
26.0;110.34954834;46.49910736;0.00730874;0.39880061
27.0;113.13272095;49.72915649;0.00754272;0.41414216
28.0;116.19891357;53.21526718;0.00780058;0.42945948
29.0;119.58666992;57.00094604;0.00808574;0.44479346
30.0;123.34143829;61.13219833;0.00840210;0.46014863
31.0;127.51963043;65.65884399;0.00875431;0.47549015
32.0;132.18788147;70.64654541;0.00914806;0.49081883
33.0;137.43429565;76.18548584;0.00959095;0.50617003
34.0;143.35916138;82.36882782;0.01009140;0.52150559
35.0;150.09716797;89.33081055;0.01066093;0.53684807
36.0;157.81478882;97.23178864;0.01131367;0.55218333
37.0;166.73594666;106.29016113;0.01206869;0.56752056
38.0;177.14985657;116.79348755;0.01295079;0.58287966
39.0;189.45516968;129.11703491;0.01399350;0.59821367
40.0;204.20283508;143.80400085;0.01524394;0.61355346
41.0;222.18081665;161.62110901;0.01676920;0.62889951
42.0;244.56066895;183.70274353;0.01866884;0.64423931
43.0;273.16027832;211.81820679;0.02109765;0.65958214
44.0;310.96191406;248.86283875;0.02430932;0.67492390
45.0;363.20520020;299.93103027;0.02874987;0.69026959
46.0;440.07278442;374.90753174;0.03528548;0.70560861
47.0;564.22125244;495.81295776;0.04584452;0.72095346
48.0;798.48553467;723.68487549;0.06577367;0.73629689
49.0;1405.50854492;1313.69213867;0.11742316;0.75164503
50.0;6725.25781250;6482.10839844;0.57010502;0.76699013
51.0;-2287.88183594;-2273.91748047;0.19688076;-2.35925555
52.0;-955.09405518;-978.84576416;0.08347199;-2.34391356
53.0;-594.40075684;-628.19122314;0.05278523;-2.32856321
54.0;-426.52462769;-464.85543823;0.03850606;-2.31321931
55.0;-329.49465942;-370.36016846;0.03025604;-2.29786921
56.0;-266.29064941;-308.73162842;0.02488453;-2.28252053
57.0;-221.86018372;-265.34732056;0.02111068;-2.26717257
58.0;-188.92907715;-233.14328003;0.01831563;-2.25182009
59.0;-163.54660034;-208.27658081;0.01616298;-2.23647070
60.0;-143.39294434;-188.49633789;0.01445547;-2.22112298
61.0;-126.99837494;-172.37567139;0.01306808;-2.20576572
62.0;-113.40890503;-158.98406982;0.01191945;-2.19041610
63.0;-101.96044159;-147.67782593;0.01095316;-2.17506719
64.0;-92.18392944;-138.00540161;0.01012951;-2.15970302
65.0;-83.73683167;-129.62329102;0.00941882;-2.14435554
66.0;-76.36882019;-122.30004120;0.00880039;-2.12899160
67.0;-69.88288879;-115.83703613;0.00825710;-2.11362863
68.0;-64.13010406;-110.08920288;0.00777625;-2.09827018
69.0;-58.99351883;-104.94390869;0.00734795;-2.08291483
70.0;-54.37654495;-100.30854797;0.00696406;-2.06754851
71.0;-50.20464706;-96.10925293;0.00661816;-2.05217981
72.0;-46.41642380;-92.28600311;0.00630502;-2.03681135
73.0;-42.95926285;-88.78607178;0.00602008;-2.02144170
74.0;-39.79187012;-85.56969452;0.00575985;-2.00607276
75.0;-36.87775803;-82.60049438;0.00552117;-1.99070191
76.0;-34.18618774;-79.85076141;0.00530158;-1.97531176
77.0;-31.69298935;-77.29238892;0.00509874;-1.95992804
78.0;-29.37549782;-74.90241241;0.00491069;-1.94454634
79.0;-27.21457672;-72.66418457;0.00473592;-1.92915082
80.0;-25.19360352;-70.55821228;0.00457282;-1.91374791
81.0;-23.29956055;-68.56881714;0.00442012;-1.89835393
82.0;-21.51751709;-66.68129730;0.00427656;-1.88293922
83.0;-19.83609581;-64.88523865;0.00414121;-1.86748385
84.0;-18.25123405;-63.16296387;0.00401288;-1.85208929
85.0;-16.74707985;-61.50405884;0.00389058;-1.83664346
86.0;-15.31873131;-59.89842987;0.00377357;-1.82117486
87.0;-13.95896149;-58.32801819;0.00366059;-1.80569661
88.0;-12.66088867;-56.77904510;0.00355063;-1.79019225
89.0;-11.41780281;-55.23088074;0.00344231;-1.77465320
90.0;-10.22386551;-53.66342163;0.00333427;-1.75905848
91.0;-9.07457352;-52.04188538;0.00322431;-1.74343121
92.0;-7.96328545;-50.32762146;0.00310997;-1.72772419
93.0;-6.88599396;-48.45315552;0.00298706;-1.71196747
94.0;-5.82404900;-46.32602692;0.00284977;-1.69585896
95.0;-4.77703094;-43.77243042;0.00268752;-1.67949951
96.0;-3.72430420;-40.47564697;0.00248087;-1.66255140
97.0;-2.62891006;-35.76171875;0.00218861;-1.64417613
98.0;-1.40673542;-27.88958359;0.00170441;-1.62119305
99.0;0.25296783;-10.52989197;0.00064288;-1.54677713
100.0;5.02455521;71.79798126;0.00439292;1.50092840
101.0;-6.49053192;-183.27145386;0.01119301;-1.60619640
102.0;-1.41842270;-94.04460144;0.00574068;-1.58587766
103.0;0.19380188;-76.26634216;0.00465494;-1.56825519
104.0;1.31519318;-68.45849609;0.00417915;-1.55158710
105.0;2.26575279;-63.97042847;0.00390689;-1.53539240
106.0;3.13518524;-61.00397110;0.00372830;-1.51944840
