FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;0;Time_0;26013543530251671
./test/square_50Hz.txt;16384;16384;0;Time_1;26013543537604240
./test/square_50Hz.txt;16384;16384;0;Time_2;26013543550425533
./test/square_50Hz.txt;16384;16384;0;Time_3;26013543637470960
./test/square_50Hz.txt;16384;16384;0;Time_4;26013545983537812
./test/square_50Hz.txt;16384;16384;0;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;0;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;0;Time_7;26013543637508550
./test/square_50Hz.txt;16384;16384;0;Time_8;26013543637508950
./test/square_50Hz.txt;16384;16384;0;Delta Time_1->2;012821293
./test/square_50Hz.txt;16384;16384;0;Delta Time_0->3;107219289
./test/square_50Hz.txt;16384;16384;0;Delta Time_3->4;2346066852
./test/square_50Hz.txt;16384;16384;0;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;0;Delta Time_7->10;2313376833
./test/square_50Hz.txt;16384;16384;0;Delta Time_8->9;004196645
./test/square_50Hz.txt;16384;16384;1;Time_0;26013546246560387
./test/square_50Hz.txt;16384;16384;1;Time_1;26013546246830985
./test/square_50Hz.txt;16384;16384;1;Time_2;26013546266177334
./test/square_50Hz.txt;16384;16384;1;Time_3;26013546764305816
./test/square_50Hz.txt;16384;16384;1;Time_4;26013549094868197
./test/square_50Hz.txt;16384;16384;1;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;1;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;1;Time_7;26013546764483225
./test/square_50Hz.txt;16384;16384;1;Time_8;26013546764483675
./test/square_50Hz.txt;16384;16384;1;Delta Time_1->2;019346349
./test/square_50Hz.txt;16384;16384;1;Delta Time_0->3;517745429
./test/square_50Hz.txt;16384;16384;1;Delta Time_3->4;2330562381
./test/square_50Hz.txt;16384;16384;1;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;1;Delta Time_7->10;2279825562
./test/square_50Hz.txt;16384;16384;1;Delta Time_8->9;000607815
./test/square_50Hz.txt;16384;16384;2;Time_0;26013549203396555
./test/square_50Hz.txt;16384;16384;2;Time_1;26013549203700363
./test/square_50Hz.txt;16384;16384;2;Time_2;26013549223189451
./test/square_50Hz.txt;16384;16384;2;Time_3;26013549315179937
./test/square_50Hz.txt;16384;16384;2;Time_4;26013551655579865
./test/square_50Hz.txt;16384;16384;2;Time_5;26013545983674011
