Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05627441;1.30419922;0.00519203;0.01533217
2.0;85.13671875;2.60595703;0.00519877;0.03059953
3.0;85.27941895;3.92333984;0.00521055;0.04597329
4.0;85.47656250;5.25183105;0.00522691;0.06136462
5.0;85.73046875;6.58532715;0.00524799;0.07666377
6.0;86.03576660;7.94897461;0.00527357;0.09212996
7.0;86.40350342;9.31494141;0.00530421;0.10739268
8.0;86.83697510;10.70947266;0.00534026;0.12270886
9.0;87.33184814;12.13159180;0.00538150;0.13803038
10.0;87.89703369;13.58581543;0.00542851;0.15335159
11.0;88.52496338;15.07977295;0.00548097;0.16872531
12.0;89.23089600;16.60888672;0.00553976;0.18402784
13.0;90.00939941;18.19024658;0.00560480;0.19940700
14.0;90.87304688;19.81538391;0.00567678;0.21469499
15.0;91.82084656;21.50479126;0.00575595;0.23005730
16.0;92.86030579;23.25741959;0.00584280;0.24540778
17.0;93.99900818;25.07878876;0.00593793;0.26072541
18.0;95.24322510;26.98501587;0.00604201;0.27609155
19.0;96.60305786;28.97772217;0.00615574;0.29142645
20.0;98.08502197;31.06900024;0.00627979;0.30675733
21.0;99.70370483;33.27008057;0.00641529;0.32207108
22.0;101.46946716;35.60028076;0.00656332;0.33742937
23.0;103.39994812;38.06793213;0.00672515;0.35276228
24.0;105.50756836;40.69262695;0.00690203;0.36810479
25.0;107.81608582;43.49493408;0.00709588;0.38344932
26.0;110.35023499;46.49911499;0.00730878;0.39879844
27.0;113.13359070;49.72723389;0.00754272;0.41412508
28.0;116.19947815;53.21798706;0.00780068;0.42947701
29.0;119.58749390;57.00257874;0.00808583;0.44480190
30.0;123.34011078;61.13059998;0.00840198;0.46014252
31.0;127.51992035;65.65856171;0.00875432;0.47548747
32.0;132.18803406;70.64591217;0.00914805;0.49081463
33.0;137.43510437;76.18537903;0.00959099;0.50616693
34.0;143.35957336;82.37060547;0.01009147;0.52151364
35.0;150.09579468;89.33136749;0.01066088;0.53685480
36.0;157.81478882;97.23387146;0.01131374;0.55219293
37.0;166.73623657;106.29065704;0.01206872;0.56752187
38.0;177.15051270;116.79217529;0.01295078;0.58287281
39.0;189.45576477;129.11749268;0.01399354;0.59821385
