Frequency;Real;Imaginary;Amplitude;Angle
0.0;98272.00000000;0.00000000;2.99902344;0.00000000
1.0;68.21990204;-1.69433308;0.00208255;-0.02483124
2.0;68.25577545;-3.39243698;0.00208557;-0.04966097
3.0;68.31576538;-5.09854889;0.00209063;-0.07449400
4.0;68.40011597;-6.81628084;0.00209774;-0.09932514
5.0;68.50919342;-8.54979515;0.00210695;-0.12415588
6.0;68.64355469;-10.30339527;0.00211830;-0.14898771
7.0;68.80369568;-12.08132648;0.00213185;-0.17381929
8.0;68.99046326;-13.88816452;0.00214766;-0.19865060
9.0;69.20469666;-15.72870731;0.00216582;-0.22348164
10.0;69.44746399;-17.60807037;0.00218643;-0.24831252
11.0;69.71986389;-19.53177452;0.00220960;-0.27314454
12.0;70.02337646;-21.50557327;0.00223545;-0.29797596
13.0;70.35952759;-23.53582191;0.00226415;-0.32280734
14.0;70.72987366;-25.62943649;0.00229584;-0.34764025
15.0;71.13723755;-27.79381752;0.00233075;-0.37246960
16.0;71.58319855;-30.03739166;0.00236908;-0.39730078
17.0;72.07065582;-32.36930847;0.00241107;-0.42213267
18.0;72.60282898;-34.79948425;0.00245703;-0.44696152
19.0;73.18258667;-37.33969879;0.00250726;-0.47179535
20.0;73.81448364;-40.00227356;0.00256216;-0.49662623
21.0;74.50287628;-42.80179596;0.00262215;-0.52145737
22.0;75.25292969;-45.75457764;0.00268771;-0.54628885
23.0;76.07078552;-48.87925339;0.00275943;-0.57111984
24.0;76.96318817;-52.19721985;0.00283795;-0.59595180
25.0;77.93843079;-55.73311615;0.00292405;-0.62078291
26.0;79.00592041;-59.51563644;0.00301863;-0.64561361
27.0;80.17673492;-63.57847595;0.00312273;-0.67044520
28.0;81.46417236;-67.96116638;0.00323762;-0.69527668
29.0;82.88386536;-72.71065521;0.00336477;-0.72010827
30.0;84.45458221;-77.88314819;0.00350599;-0.74494022
31.0;86.19947815;-83.54660034;0.00366343;-0.76977092
32.0;88.14612579;-89.78382874;0.00383975;-0.79460210
33.0;90.32907867;-96.69699097;0.00403821;-0.81943327
34.0;92.79132080;-104.41317749;0.00426290;-0.84426308
35.0;95.58721924;-113.09432983;0.00451900;-0.86909610
36.0;98.78671265;-122.94615173;0.00481313;-0.89392745
37.0;102.48103333;-134.23855591;0.00515398;-0.91875863
38.0;106.79144287;-147.33007812;0.00555307;-0.94358987
39.0;111.88322449;-162.70867920;0.00602612;-0.96842134
40.0;117.98677063;-181.05473328;0.00659502;-0.99325252
41.0;125.43381500;-203.34783936;0.00729134;-1.01808381
42.0;134.72013855;-231.05096436;0.00816219;-1.04291439
43.0;146.61968994;-266.45086670;0.00928123;-1.06774652
44.0;162.41537476;-313.33227539;0.01077041;-1.09257770
45.0;184.39379883;-378.44604492;0.01284723;-1.11740923
46.0;217.07061768;-475.12200928;0.01594118;-1.14224124
47.0;270.78320312;-633.87011719;0.02103533;-1.16707194
48.0;375.51599121;-943.19946289;0.03098154;-1.19190311
49.0;669.90209961;-1812.31616211;0.05896497;-1.21673429
50.0;6625.84960938;-19392.80468750;0.62541139;-1.24156582
51.0;-712.22912598;2267.06787109;0.07251934;1.87519562
52.0;-309.74548340;1078.92712402;0.03425625;1.85036421
53.0;-185.16513062;711.09680176;0.02242460;1.82553315
54.0;-124.49378967;531.92590332;0.01667176;1.80070162
55.0;-88.56897736;425.81646729;0.01327301;1.77587032
56.0;-64.79631042;355.59317017;0.01103053;1.75103915
57.0;-47.88684845;305.64492798;0.00944133;1.72620773
58.0;-35.23124695;268.26855469;0.00825720;1.70137727
59.0;-25.39239883;239.22473145;0.00734157;1.67654490
60.0;-17.51537704;215.98718262;0.00661304;1.65171373
61.0;-11.05813885;196.95712280;0.00602012;1.62688231
62.0;-5.66109896;181.07328796;0.00552862;1.60205030
63.0;-1.07660830;167.60389709;0.00511497;1.57721972
64.0;2.87244368;156.02702332;0.00476237;1.55238855
65.0;6.31517124;145.96134949;0.00445855;1.52755725
66.0;9.34826374;137.12106323;0.00419432;1.50272644
67.0;12.04586411;129.28886414;0.00396267;1.47789431
68.0;14.46502304;122.29463196;0.00375815;1.45306325
69.0;16.65116119;116.00505066;0.00357648;1.42823184
70.0;18.64048386;110.31332397;0.00341422;1.40339994
71.0;20.46208954;105.13320160;0.00326861;1.37856936
