FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;65536;65536;0;Time_0;11840037206750
./test/square_50Hz.txt;65536;65536;0;Time_1;11840037227214
./test/square_50Hz.txt;65536;65536;0;Time_2;11840054249489
./test/square_50Hz.txt;65536;65536;0;Time_3;11840054371222
./test/square_50Hz.txt;65536;65536;0;Time_4;11840073608286
./test/square_50Hz.txt;65536;65536;0;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;0;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;0;Time_7;11840054619435
./test/square_50Hz.txt;65536;65536;0;Time_8;000000000
./test/square_50Hz.txt;65536;65536;0;Delta Time_1->2;017022275
./test/square_50Hz.txt;65536;65536;0;Delta Time_0->3;017164472
./test/square_50Hz.txt;65536;65536;0;Delta Time_3->4;019237064
./test/square_50Hz.txt;65536;65536;0;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;0;Delta Time_7->10;018960426
./test/square_50Hz.txt;65536;65536;0;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;1;Time_0;11840106244918
./test/square_50Hz.txt;65536;65536;1;Time_1;11840106249248
./test/square_50Hz.txt;65536;65536;1;Time_2;11840113534891
./test/square_50Hz.txt;65536;65536;1;Time_3;11840113540548
./test/square_50Hz.txt;65536;65536;1;Time_4;11840132768394
./test/square_50Hz.txt;65536;65536;1;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;1;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;1;Time_7;11840113815442
./test/square_50Hz.txt;65536;65536;1;Time_8;000000000
./test/square_50Hz.txt;65536;65536;1;Delta Time_1->2;007285643
./test/square_50Hz.txt;65536;65536;1;Delta Time_0->3;007295630
./test/square_50Hz.txt;65536;65536;1;Delta Time_3->4;019227846
./test/square_50Hz.txt;65536;65536;1;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;1;Delta Time_7->10;018951066
./test/square_50Hz.txt;65536;65536;1;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;2;Time_0;11840132838863
./test/square_50Hz.txt;65536;65536;2;Time_1;11840132843752
./test/square_50Hz.txt;65536;65536;2;Time_2;11840140051592
./test/square_50Hz.txt;65536;65536;2;Time_3;11840140054875
./test/square_50Hz.txt;65536;65536;2;Time_4;11840158753048
./test/square_50Hz.txt;65536;65536;2;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;2;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;2;Time_7;11840140213343
./test/square_50Hz.txt;65536;65536;2;Time_8;000000000
./test/square_50Hz.txt;65536;65536;2;Delta Time_1->2;007207840
./test/square_50Hz.txt;65536;65536;2;Delta Time_0->3;007216012
./test/square_50Hz.txt;65536;65536;2;Delta Time_3->4;018698173
./test/square_50Hz.txt;65536;65536;2;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;2;Delta Time_7->10;018537889
./test/square_50Hz.txt;65536;65536;2;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;3;Time_0;11840158827009
./test/square_50Hz.txt;65536;65536;3;Time_1;11840158831898
./test/square_50Hz.txt;65536;65536;3;Time_2;11840166046793
./test/square_50Hz.txt;65536;65536;3;Time_3;11840166052938
./test/square_50Hz.txt;65536;65536;3;Time_4;11840184830660
./test/square_50Hz.txt;65536;65536;3;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;3;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;3;Time_7;11840166221883
./test/square_50Hz.txt;65536;65536;3;Time_8;000000000
./test/square_50Hz.txt;65536;65536;3;Delta Time_1->2;007214895
./test/square_50Hz.txt;65536;65536;3;Delta Time_0->3;007225929
./test/square_50Hz.txt;65536;65536;3;Delta Time_3->4;018777722
./test/square_50Hz.txt;65536;65536;3;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;3;Delta Time_7->10;018607381
./test/square_50Hz.txt;65536;65536;3;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;4;Time_0;11840184892120
./test/square_50Hz.txt;65536;65536;4;Time_1;11840184896450
./test/square_50Hz.txt;65536;65536;4;Time_2;11840192037872
./test/square_50Hz.txt;65536;65536;4;Time_3;11840192043669
./test/square_50Hz.txt;65536;65536;4;Time_4;11840210940888
./test/square_50Hz.txt;65536;65536;4;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;4;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;4;Time_7;11840192212614
./test/square_50Hz.txt;65536;65536;4;Time_8;000000000
./test/square_50Hz.txt;65536;65536;4;Delta Time_1->2;007141422
./test/square_50Hz.txt;65536;65536;4;Delta Time_0->3;007151549
./test/square_50Hz.txt;65536;65536;4;Delta Time_3->4;018897219
./test/square_50Hz.txt;65536;65536;4;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;4;Delta Time_7->10;018726389
./test/square_50Hz.txt;65536;65536;4;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;5;Time_0;11840211046697
