Frequency;Real;Imaginary;Amplitude;Angle
0.0;24546.00000000;0.00000000;2.99633789;0.00000000
1.0;71.16471863;0.29681599;0.00868717;0.00417081
2.0;71.23126984;0.58327085;0.00869551;0.00818823
3.0;71.35503387;0.87698656;0.00871099;0.01228985
4.0;71.53292084;1.17396653;0.00873322;0.01641008
5.0;71.75812531;1.47137678;0.00876138;0.02050180
6.0;72.03926086;1.77511752;0.00879652;0.02463599
7.0;72.37170410;2.07933354;0.00883808;0.02872340
8.0;72.75765228;2.38922453;0.00888634;0.03282632
9.0;73.20205688;2.70340347;0.00894189;0.03691393
10.0;73.70715332;3.02597904;0.00900503;0.04103103
11.0;74.27394867;3.35505128;0.00907589;0.04514062
12.0;74.90496826;3.69341898;0.00915478;0.04926816
13.0;75.60460663;4.04066753;0.00924225;0.05339393
14.0;76.37786865;4.39711094;0.00933891;0.05750701
15.0;77.22850037;4.76606178;0.00944524;0.06163560
16.0;78.16037750;5.14861155;0.00956174;0.06577737
17.0;79.18071747;5.54408121;0.00968928;0.06990398
18.0;80.29571533;5.95719957;0.00982866;0.07405508
19.0;81.51253510;6.38594818;0.00998075;0.07818345
20.0;82.84045410;6.83622360;0.01014673;0.08233620
21.0;84.28782654;7.30812979;0.01032764;0.08648816
22.0;85.86849976;7.80542183;0.01052521;0.09065058
23.0;87.59354401;8.33049774;0.01074082;0.09481883
24.0;89.47812653;8.88698769;0.01097636;0.09899557
25.0;91.54017639;9.47778225;0.01123407;0.10316925
26.0;93.80105591;10.10897160;0.01151663;0.10735599
27.0;96.28268433;10.78488636;0.01182676;0.11154775
28.0;99.01401520;11.51264191;0.01216810;0.11575308
29.0;102.02916718;12.29842949;0.01254489;0.11995962
30.0;105.36735535;13.15212631;0.01296204;0.12417938
31.0;109.07804871;14.08289051;0.01342571;0.12839811
32.0;113.21858215;15.10546112;0.01394309;0.13263528
33.0;117.86259460;16.23427200;0.01452336;0.13687769
34.0;123.09928131;17.48887062;0.01517766;0.14112681
