Frequency;Real;Imaginary;Amplitude;Angle
0.0;49136.00000000;0.00000000;2.99902344;0.00000000
1.0;84.54310608;-1.28076017;0.00516069;-0.01514804
2.0;84.62654877;-2.56459951;0.00516757;-0.03029563
3.0;84.76605988;-3.85478020;0.00517906;-0.04544421
4.0;84.96229553;-5.15437651;0.00519522;-0.06059237
5.0;85.21622467;-6.46666622;0.00521614;-0.07574023
6.0;85.52900696;-7.79507160;0.00524191;-0.09088841
7.0;85.90219116;-9.14307499;0.00527267;-0.10603666
8.0;86.33766174;-10.51431274;0.00530857;-0.12118457
9.0;86.83759308;-11.91267967;0.00534979;-0.13633247
10.0;87.40453339;-13.34225845;0.00539655;-0.15148014
11.0;88.04141998;-14.80752754;0.00544909;-0.16662872
12.0;88.75175476;-16.31308365;0.00550772;-0.18177681
13.0;89.53942108;-17.86407471;0.00557276;-0.19692506
14.0;90.40882111;-19.46600723;0.00564457;-0.21207333
15.0;91.36527252;-21.12490463;0.00572361;-0.22722082
16.0;92.41435242;-22.84752274;0.00581035;-0.24236912
17.0;93.56280518;-24.64114380;0.00590535;-0.25751716
18.0;94.81810760;-26.51388550;0.00600924;-0.27266458
19.0;96.18887329;-28.47512054;0.00612275;-0.28781375
20.0;97.68487549;-30.53469467;0.00624670;-0.30296108
21.0;99.31748962;-32.70446014;0.00638206;-0.31810901
22.0;101.09959412;-34.99749374;0.00652989;-0.33325738
23.0;103.04611969;-37.42866135;0.00669147;-0.34840536
24.0;105.17436218;-40.01519775;0.00686825;-0.36355355
25.0;107.50440216;-42.77682495;0.00706192;-0.37870133
26.0;110.05970764;-45.73661423;0.00727445;-0.39384934
27.0;112.86782074;-48.92141724;0.00750818;-0.40899754
28.0;115.96148682;-52.36289215;0.00776585;-0.42414561
29.0;119.37946320;-56.09855270;0.00805074;-0.43929368
30.0;123.16825867;-60.17333221;0.00836677;-0.45444232
31.0;127.38438416;-64.64125061;0.00871869;-0.46959010
32.0;132.09640503;-69.56829834;0.00911229;-0.48473799
33.0;137.38903809;-75.03562927;0.00955470;-0.49988595
34.0;143.36791992;-81.14421082;0.01005484;-0.51503348
35.0;150.16644287;-88.02181244;0.01062394;-0.53018212
36.0;157.95541382;-95.83132935;0.01127641;-0.54533041
37.0;166.95738220;-104.78511047;0.01203100;-0.56047821
38.0;177.46740723;-115.16485596;0.01291260;-0.57562637
39.0;189.88563538;-127.35211945;0.01395493;-0.59077454
40.0;204.76821899;-141.87705994;0.01520488;-0.60592240
41.0;222.91160583;-159.49913025;0.01672960;-0.62107050
42.0;245.49842834;-181.34519958;0.01862878;-0.63621795
43.0;274.36254883;-209.16387939;0.02105707;-0.65136665
44.0;312.51119995;-245.82028198;0.02426797;-0.66651458
45.0;365.23843384;-296.36007690;0.02870784;-0.68166286
46.0;442.81286621;-370.56854248;0.03524241;-0.69681090
47.0;568.11193848;-490.24682617;0.04580050;-0.71195889
48.0;804.54479980;-715.82031250;0.06572812;-0.72710693
49.0;1417.19506836;-1299.89794922;0.11737453;-0.74225485
50.0;6786.24951172;-6416.53955078;0.57003427;-0.75740308
51.0;-2310.43554688;2251.82080078;0.19691582;2.36904144
