Frequency;Real;Imaginary;Amplitude;Angle
0.0;98272.00000000;0.00000000;2.99902344;0.00000000
1.0;68.21649933;-1.71447134;0.00208246;-0.02512751
2.0;68.25973511;-3.41891503;0.00208573;-0.05004503
3.0;68.32833862;-5.15043402;0.00209113;-0.07523544
4.0;68.39662933;-6.81872559;0.00209765;-0.09936555
5.0;68.51549530;-8.55728149;0.00210717;-0.12425216
6.0;68.64854431;-10.31533146;0.00211851;-0.14914708
7.0;68.79745483;-12.05698490;0.00213153;-0.17349148
8.0;68.99114990;-13.88860703;0.00214768;-0.19865485
9.0;69.20679474;-15.73116589;0.00216590;-0.22350888
10.0;69.44797516;-17.59069252;0.00218631;-0.24807563
11.0;69.71532440;-19.52833748;0.00220944;-0.27311572
12.0;70.02846527;-21.50202751;0.00223557;-0.29790929
13.0;70.35517120;-23.52602005;0.00226393;-0.32270068
14.0;70.72758484;-25.62702942;0.00229575;-0.34762052
15.0;71.13629150;-27.79081154;0.00233069;-0.37243745
16.0;71.58257294;-30.03768158;0.00236906;-0.39730734
17.0;72.06791687;-32.36491394;0.00241094;-0.42209613
18.0;72.60211182;-34.80414200;0.00245707;-0.44701755
19.0;73.18698120;-37.33526611;0.00250732;-0.47172296
20.0;73.81645203;-39.99879837;0.00256216;-0.49657866
21.0;74.50471497;-42.81151199;0.00262234;-0.52154475
22.0;75.25341797;-45.75249100;0.00268769;-0.54626572
23.0;76.07021332;-48.87839890;0.00275940;-0.57111531
24.0;76.96377563;-52.19592285;0.00283794;-0.59593666
25.0;77.93919373;-55.73389435;0.00292408;-0.62078488
26.0;79.00652313;-59.51165771;0.00301857;-0.64557785
27.0;80.17707062;-63.58188248;0.00312280;-0.67046928
28.0;81.46458435;-67.96436310;0.00323769;-0.69529736
29.0;82.88269806;-72.71337128;0.00336480;-0.72013378
30.0;84.45987701;-77.88253021;0.00350609;-0.74490505
31.0;86.19885254;-83.54782104;0.00366344;-0.76978183
32.0;88.14764404;-89.78541565;0.00383981;-0.79460233
33.0;90.32809448;-96.69573212;0.00403816;-0.81943220
34.0;92.79064941;-104.41644287;0.00426296;-0.84428221
35.0;95.58650208;-113.09353638;0.00451896;-0.86909634
36.0;98.78690338;-122.94985962;0.00481323;-0.89394122
37.0;102.48617554;-134.23559570;0.00515400;-0.91872376
38.0;106.79161072;-147.32958984;0.00555306;-0.94358754
39.0;111.88336945;-162.71151733;0.00602619;-0.96842885
40.0;117.98648834;-181.05587769;0.00659505;-0.99325651
41.0;125.43614197;-203.34616089;0.00729133;-1.01807177
42.0;134.72109985;-231.05169678;0.00816222;-1.04291260
43.0;146.61593628;-266.45016479;0.00928115;-1.06775618
44.0;162.42155457;-313.33139038;0.01077047;-1.09256101
45.0;184.38992310;-378.45217896;0.01284735;-1.11742389
46.0;217.07221985;-475.12124634;0.01594118;-1.14223778
47.0;270.78387451;-633.87634277;0.02103551;-1.16707456
48.0;375.52249146;-943.19744873;0.03098156;-1.19189644
49.0;669.88488770;-1812.32336426;0.05896500;-1.21674395
50.0;6625.84619141;-19392.80078125;0.62541127;-1.24156582
51.0;-712.22998047;2267.06787109;0.07251935;1.87519598
52.0;-309.75256348;1078.92871094;0.03425635;1.85036993
53.0;-185.15557861;711.09588623;0.02242450;1.82552087
54.0;-124.49118042;531.91967773;0.01667156;1.80069959
55.0;-88.56814575;425.80975342;0.01327281;1.77587163
56.0;-64.79752350;355.58795166;0.01103038;1.75104499
57.0;-47.87961578;305.64553833;0.00944132;1.72618425
58.0;-35.22896194;268.26998901;0.00825724;1.70136821
59.0;-25.39167976;239.22680664;0.00734163;1.67654097
60.0;-17.51715279;215.98794556;0.00661307;1.65172172
61.0;-11.05505943;196.95693970;0.00602011;1.62686682
62.0;-5.66233826;181.07307434;0.00552861;1.60205710
63.0;-1.07625496;167.60545349;0.00511502;1.57721758
64.0;2.87260532;156.02691650;0.00476237;1.55238748
65.0;6.31686735;145.95901489;0.00445849;1.52754498
66.0;9.34866047;137.12150574;0.00419433;1.50272369
67.0;12.04540730;129.28999329;0.00396270;1.47789872
68.0;14.46456718;122.29471588;0.00375815;1.45306695
69.0;16.65261459;116.00228119;0.00357640;1.42821622
70.0;18.64003372;110.31110382;0.00341415;1.40340066
71.0;20.46324539;105.13166046;0.00326858;1.37855601
72.0;22.13874245;100.39405060;0.00313739;1.35375154
73.0;23.69343376;96.03397369;0.00301860;1.32890773
74.0;25.14068794;92.01183319;0.00291091;1.30407345
75.0;26.49323654;88.28286743;0.00281288;1.27925253
76.0;27.76483917;84.80992889;0.00272336;1.25441587
77.0;28.96471405;81.56618500;0.00264149;1.22957921
78.0;30.10065842;78.52252960;0.00256635;1.20473588
79.0;31.17950630;75.66493988;0.00249748;1.17992544
80.0;32.20924759;72.96353912;0.00243398;1.15508115
81.0;33.19346619;70.41053772;0.00237556;1.13026679
82.0;34.13814926;67.98302460;0.00232156;1.10542464
83.0;35.04665756;65.67295837;0.00227171;1.08058918
84.0;35.92171478;63.46856308;0.00222561;1.05576992
85.0;36.76655960;61.35571671;0.00218287;1.03093874
