Frequency;Real;Imaginary;Amplitude;Angle
0.0;65536.00000000;0.00000000;4.00000000;0.00000000
1.0;0.00000000;0.00000000;0.00000000;0.00000000
2.0;-0.00001137;0.00009946;0.00000001;1.68458986
3.0;0.00000000;0.00000000;0.00000000;0.00000000
4.0;0.00006367;-0.00000000;0.00000000;-0.00000011
5.0;0.00000000;0.00000000;0.00000000;0.00000000
6.0;0.00001046;-0.00000329;0.00000000;-0.30492771
7.0;0.00000000;0.00000000;0.00000000;0.00000000
8.0;-0.00001372;0.00000000;0.00000000;3.14159274
9.0;0.00000000;0.00000000;0.00000000;0.00000000
10.0;0.00001222;0.00000152;0.00000000;0.12365351
11.0;0.00000000;0.00000000;0.00000000;0.00000000
12.0;-0.00001318;-0.00000000;0.00000000;-3.14159274
13.0;0.00000000;0.00000000;0.00000000;0.00000000
14.0;-0.00005785;-0.00006262;0.00000001;-2.31661654
15.0;0.00000000;0.00000000;0.00000000;0.00000000
16.0;0.00000230;0.00000000;0.00000000;0.00000023
17.0;0.00000000;0.00000000;0.00000000;0.00000000
18.0;0.00010553;-0.00012593;0.00000001;-0.87327516
19.0;0.00000000;0.00000000;0.00000000;0.00000000
20.0;0.00002331;0.00000000;0.00000000;0.00000022
21.0;0.00000000;0.00000000;0.00000000;0.00000000
22.0;0.00000619;0.00013762;0.00000001;1.52583551
23.0;0.00000000;0.00000000;0.00000000;0.00000000
24.0;-0.00001169;0.00000000;0.00000000;3.14159250
25.0;0.00000000;0.00000000;0.00000000;0.00000000
26.0;0.00001926;-0.00008503;0.00000001;-1.34802961
27.0;0.00000000;0.00000000;0.00000000;0.00000000
28.0;0.00004799;0.00000000;0.00000000;0.00000002
29.0;0.00000000;0.00000000;0.00000000;0.00000000
30.0;-0.00001528;0.00003150;0.00000000;2.02257395
31.0;0.00000000;0.00000000;0.00000000;0.00000000
32.0;0.00000000;0.00000000;0.00000000;0.00000000
33.0;0.00000000;0.00000000;0.00000000;0.00000000
34.0;0.00007013;-0.00007398;0.00000001;-0.81207043
35.0;0.00000000;0.00000000;0.00000000;0.00000000
36.0;-0.00002175;0.00000000;0.00000000;3.14159250
37.0;0.00000000;0.00000000;0.00000000;0.00000000
38.0;0.00000112;0.00008884;0.00000001;1.55823350
39.0;0.00000000;0.00000000;0.00000000;0.00000000
40.0;-0.00000034;0.00000000;0.00000000;3.14159203
41.0;0.00000000;0.00000000;0.00000000;0.00000000
42.0;0.00005030;0.00005198;0.00000000;0.80183327
43.0;0.00000000;0.00000000;0.00000000;0.00000000
44.0;0.00003780;-0.00000000;0.00000000;-0.00000010
45.0;0.00000000;0.00000000;0.00000000;0.00000000
46.0;0.00003206;0.00010003;0.00000001;1.26063609
47.0;0.00000000;0.00000000;0.00000000;0.00000000
48.0;-0.00000512;0.00000000;0.00000000;3.14159250
49.0;0.00000000;0.00000000;0.00000000;0.00000000
50.0;-0.00069176;-8192.00000000;0.50000000;-1.57079637
51.0;0.00000000;0.00000000;0.00000000;0.00000000
52.0;0.00003340;-0.00000000;0.00000000;-0.00000021
53.0;0.00000000;0.00000000;0.00000000;0.00000000
54.0;0.00000420;-0.00017964;0.00000001;-1.54740155
55.0;0.00000000;0.00000000;0.00000000;0.00000000
56.0;0.00000124;-0.00000000;0.00000000;-0.00000099
57.0;0.00000000;0.00000000;0.00000000;0.00000000
58.0;-0.00003798;-0.00015514;0.00000001;-1.81090593
59.0;0.00000000;0.00000000;0.00000000;0.00000000
60.0;-0.00001199;-0.00000000;0.00000000;-3.14159226
61.0;0.00000000;0.00000000;0.00000000;0.00000000
62.0;-0.00003521;-0.00005198;0.00000000;-2.16625452
63.0;0.00000000;0.00000000;0.00000000;0.00000000
64.0;0.00000000;0.00000000;0.00000000;0.00000000
65.0;0.00000000;0.00000000;0.00000000;0.00000000
66.0;-0.00006543;-0.00013965;0.00000001;-2.00891948
67.0;0.00000000;0.00000000;0.00000000;0.00000000
68.0;0.00001336;-0.00000000;0.00000000;-0.00000004
69.0;0.00000000;0.00000000;0.00000000;0.00000000
70.0;0.00000420;-0.00017249;0.00000001;-1.54647315
71.0;0.00000000;0.00000000;0.00000000;0.00000000
72.0;0.00002224;-0.00000000;0.00000000;-0.00000008
73.0;0.00000000;0.00000000;0.00000000;0.00000000
74.0;-0.00001291;-0.00003500;0.00000000;-1.92406189
75.0;0.00000000;0.00000000;0.00000000;0.00000000
76.0;0.00000336;-0.00000000;0.00000000;-0.00000022
77.0;0.00000000;0.00000000;0.00000000;0.00000000
78.0;0.00005707;-0.00029440;0.00000002;-1.37930453
79.0;0.00000000;0.00000000;0.00000000;0.00000000
80.0;-0.00000594;-0.00000000;0.00000000;-3.14159250
81.0;0.00000000;0.00000000;0.00000000;0.00000000
82.0;-0.00008486;-0.00002507;0.00000001;-2.85434747
83.0;0.00000000;0.00000000;0.00000000;0.00000000
84.0;-0.00000540;0.00000000;0.00000000;3.14159226
85.0;0.00000000;0.00000000;0.00000000;0.00000000
86.0;0.00000483;-0.00019810;0.00000001;-1.54643643
87.0;0.00000000;0.00000000;0.00000000;0.00000000
88.0;0.00003890;0.00000000;0.00000000;0.00000010
89.0;0.00000000;0.00000000;0.00000000;0.00000000
90.0;-0.00000981;0.00005407;0.00000000;1.75027013
91.0;0.00000000;0.00000000;0.00000000;0.00000000
92.0;-0.00005720;0.00000000;0.00000000;3.14159274
93.0;0.00000000;0.00000000;0.00000000;0.00000000
94.0;-0.00001420;0.00000059;0.00000000;3.09990692
95.0;0.00000000;0.00000000;0.00000000;0.00000000
96.0;0.00000000;0.00000000;0.00000000;0.00000000
97.0;0.00000000;0.00000000;0.00000000;0.00000000
98.0;-0.00000243;-0.00006718;0.00000000;-1.60691702
99.0;0.00000000;0.00000000;0.00000000;0.00000000
100.0;-0.00005282;0.00000000;0.00000000;3.14159250
101.0;0.00000000;0.00000000;0.00000000;0.00000000
102.0;0.00000172;-0.00013173;0.00000001;-1.55775118
103.0;0.00000000;0.00000000;0.00000000;0.00000000
104.0;0.00007440;-0.00000000;0.00000000;-0.00000011
105.0;0.00000000;0.00000000;0.00000000;0.00000000
106.0;-0.00000166;-0.00009529;0.00000001;-1.58825624
107.0;0.00000000;0.00000000;0.00000000;0.00000000
108.0;0.00002116;0.00000000;0.00000000;0.00000008
109.0;0.00000000;0.00000000;0.00000000;0.00000000
110.0;0.00000922;-0.00002909;0.00000000;-1.26391804
111.0;0.00000000;0.00000000;0.00000000;0.00000000
112.0;0.00003199;0.00000000;0.00000000;0.00000003
113.0;0.00000000;0.00000000;0.00000000;0.00000000
114.0;0.00006269;-0.00003413;0.00000000;-0.49853793
115.0;0.00000000;0.00000000;0.00000000;0.00000000
116.0;-0.00007948;0.00000000;0.00000000;3.14159250
117.0;0.00000000;0.00000000;0.00000000;0.00000000
118.0;0.00001361;0.00010508;0.00000001;1.44200742
119.0;0.00000000;0.00000000;0.00000000;0.00000000
120.0;0.00006697;-0.00000000;0.00000000;-0.00000001
121.0;0.00000000;0.00000000;0.00000000;0.00000000
122.0;-0.00000312;-0.00001143;0.00000000;-1.83753181
123.0;0.00000000;0.00000000;0.00000000;0.00000000
124.0;-0.00005169;0.00000000;0.00000000;3.14159274
125.0;0.00000000;0.00000000;0.00000000;0.00000000
126.0;0.00001944;-0.00009534;0.00000001;-1.36960590
127.0;0.00000000;0.00000000;0.00000000;0.00000000
128.0;0.00000000;0.00000000;0.00000000;0.00000000
129.0;0.00000000;0.00000000;0.00000000;0.00000000
130.0;0.00001049;-0.00000454;0.00000000;-0.40863061
131.0;0.00000000;0.00000000;0.00000000;0.00000000
132.0;-0.00001694;0.00000000;0.00000000;3.14159250
133.0;0.00000000;0.00000000;0.00000000;0.00000000
134.0;0.00000082;0.00008156;0.00000000;1.56072772
135.0;0.00000000;0.00000000;0.00000000;0.00000000
136.0;0.00002462;-0.00000000;0.00000000;-0.00000010
137.0;0.00000000;0.00000000;0.00000000;0.00000000
138.0;-0.00000142;0.00003610;0.00000000;1.61016583
139.0;0.00000000;0.00000000;0.00000000;0.00000000
140.0;-0.00004208;0.00000000;0.00000000;3.14159250
141.0;0.00000000;0.00000000;0.00000000;0.00000000
142.0;0.00001208;-0.00007011;0.00000000;-1.40021062
143.0;0.00000000;0.00000000;0.00000000;0.00000000
144.0;-0.00001590;0.00000000;0.00000000;3.14159274
145.0;0.00000000;0.00000000;0.00000000;0.00000000
146.0;-0.00001421;0.00003903;0.00000000;1.92003334
147.0;0.00000000;0.00000000;0.00000000;0.00000000
148.0;-0.00006901;0.00000000;0.00000000;3.14159274
149.0;0.00000000;0.00000000;0.00000000;0.00000000
150.0;-0.00001679;-0.00006994;0.00000000;-1.80639279
151.0;0.00000000;0.00000000;0.00000000;0.00000000
152.0;0.00003849;-0.00000000;0.00000000;-0.00000005
153.0;0.00000000;0.00000000;0.00000000;0.00000000
154.0;-0.00000737;-0.00000919;0.00000000;-2.24649000
155.0;0.00000000;0.00000000;0.00000000;0.00000000
156.0;-0.00000897;-0.00000000;0.00000000;-3.14159250
157.0;0.00000000;0.00000000;0.00000000;0.00000000
158.0;0.00000895;0.00000951;0.00000000;0.81551093
159.0;0.00000000;0.00000000;0.00000000;0.00000000
160.0;0.00000000;0.00000000;0.00000000;0.00000000
161.0;0.00000000;0.00000000;0.00000000;0.00000000
162.0;-0.00000982;-0.00007210;0.00000000;-1.70612133
163.0;0.00000000;0.00000000;0.00000000;0.00000000
164.0;0.00003071;0.00000000;0.00000000;0.00000006
165.0;0.00000000;0.00000000;0.00000000;0.00000000
166.0;-0.00001335;0.00001090;0.00000000;2.45719767
167.0;0.00000000;0.00000000;0.00000000;0.00000000
168.0;-0.00003878;-0.00000000;0.00000000;-3.14159250
169.0;0.00000000;0.00000000;0.00000000;0.00000000
170.0;-0.00000291;0.00004861;0.00000000;1.63057029
171.0;0.00000000;0.00000000;0.00000000;0.00000000
172.0;0.00008727;-0.00000000;0.00000001;-0.00000005
173.0;0.00000000;0.00000000;0.00000000;0.00000000
174.0;0.00001148;-0.00011692;0.00000001;-1.47295141
175.0;0.00000000;0.00000000;0.00000000;0.00000000
176.0;-0.00002147;0.00000000;0.00000000;3.14159274
177.0;0.00000000;0.00000000;0.00000000;0.00000000
178.0;-0.00005409;-0.00015328;0.00000001;-1.91005921
179.0;0.00000000;0.00000000;0.00000000;0.00000000
180.0;0.00006574;-0.00000000;0.00000000;-0.00000014
181.0;0.00000000;0.00000000;0.00000000;0.00000000
182.0;0.00000364;0.00007413;0.00000000;1.52178550
183.0;0.00000000;0.00000000;0.00000000;0.00000000
184.0;-0.00000166;-0.00000000;0.00000000;-3.14159226
