Frequency;Real;Imaginary;Amplitude;Angle
0.0;0.00000000;0.00000000;0.00000000;0.00000000
1.0;8192.00000000;-0.00035322;0.50000000;-0.00000004
2.0;0.00000000;0.00000000;0.00000000;0.00000000
3.0;0.00010048;-0.00007281;0.00000001;-0.62706566
4.0;0.00000000;0.00000000;0.00000000;0.00000000
5.0;-0.00002098;0.00000251;0.00000000;3.02274251
6.0;0.00000000;0.00000000;0.00000000;0.00000000
7.0;-0.00030134;-0.00001265;0.00000002;-3.09963250
8.0;0.00000000;0.00000000;0.00000000;0.00000000
9.0;0.00014052;-0.00009355;0.00000001;-0.58733976
10.0;0.00000000;0.00000000;0.00000000;0.00000000
11.0;0.00013071;-0.00003273;0.00000001;-0.24535660
12.0;0.00000000;0.00000000;0.00000000;0.00000000
13.0;0.00008379;0.00001577;0.00000001;0.18598665
14.0;0.00000000;0.00000000;0.00000000;0.00000000
15.0;0.00003644;0.00009922;0.00000001;1.21880591
16.0;0.00000000;0.00000000;0.00000000;0.00000000
17.0;-0.00004374;-0.00009152;0.00000001;-2.01660585
18.0;0.00000000;0.00000000;0.00000000;0.00000000
19.0;0.00004134;-0.00001089;0.00000000;-0.25765520
20.0;0.00000000;0.00000000;0.00000000;0.00000000
21.0;-0.00005471;0.00000016;0.00000000;3.13862801
22.0;0.00000000;0.00000000;0.00000000;0.00000000
23.0;-0.00007796;-0.00002032;0.00000000;-2.88656616
24.0;0.00000000;0.00000000;0.00000000;0.00000000
25.0;0.00005369;-0.00003166;0.00000000;-0.53278995
26.0;0.00000000;0.00000000;0.00000000;0.00000000
27.0;0.00001058;-0.00000217;0.00000000;-0.20254529
28.0;0.00000000;0.00000000;0.00000000;0.00000000
29.0;-0.00003117;0.00000534;0.00000000;2.97181606
30.0;0.00000000;0.00000000;0.00000000;0.00000000
31.0;0.00012292;-0.00001814;0.00000001;-0.14649829
32.0;0.00000000;0.00000000;0.00000000;0.00000000
33.0;0.00008565;-0.00002502;0.00000001;-0.28425896
34.0;0.00000000;0.00000000;0.00000000;0.00000000
35.0;-0.00005685;-0.00000381;0.00000000;-3.07465553
36.0;0.00000000;0.00000000;0.00000000;0.00000000
37.0;-0.00006802;0.00000321;0.00000000;3.09442043
38.0;0.00000000;0.00000000;0.00000000;0.00000000
39.0;-0.00002416;-0.00000023;0.00000000;-3.13191342
40.0;0.00000000;0.00000000;0.00000000;0.00000000
41.0;0.00000963;-0.00002011;0.00000000;-1.12432063
42.0;0.00000000;0.00000000;0.00000000;0.00000000
43.0;-0.00006109;-0.00000318;0.00000000;-3.08960199
44.0;0.00000000;0.00000000;0.00000000;0.00000000
45.0;0.00003679;-0.00000481;0.00000000;-0.13012235
46.0;0.00000000;0.00000000;0.00000000;0.00000000
47.0;0.00003851;0.00000613;0.00000000;0.15795448
48.0;0.00000000;0.00000000;0.00000000;0.00000000
49.0;-0.00002915;-0.00002996;0.00000000;-2.34248900
50.0;0.00000000;0.00000000;0.00000000;0.00000000
51.0;0.00001120;0.00000627;0.00000000;0.51019418
52.0;0.00000000;0.00000000;0.00000000;0.00000000
53.0;-0.00002728;-0.00000257;0.00000000;-3.04771066
54.0;0.00000000;0.00000000;0.00000000;0.00000000
55.0;-0.00006306;-0.00001278;0.00000000;-2.94158983
56.0;0.00000000;0.00000000;0.00000000;0.00000000
57.0;-0.00004881;-0.00000943;0.00000000;-2.95081234
58.0;0.00000000;0.00000000;0.00000000;0.00000000
59.0;-0.00000886;-0.00000244;0.00000000;-2.87309027
60.0;0.00000000;0.00000000;0.00000000;0.00000000
61.0;-0.00000202;-0.00000224;0.00000000;-2.30262899
62.0;0.00000000;0.00000000;0.00000000;0.00000000
63.0;-0.00008832;-0.00001219;0.00000001;-3.00440025
64.0;0.00000000;0.00000000;0.00000000;0.00000000
65.0;0.00003633;-0.00002894;0.00000000;-0.67261595
66.0;0.00000000;0.00000000;0.00000000;0.00000000
67.0;-0.00001168;0.00000078;0.00000000;3.07515717
68.0;0.00000000;0.00000000;0.00000000;0.00000000
69.0;0.00003422;-0.00000269;0.00000000;-0.07842720
70.0;0.00000000;0.00000000;0.00000000;0.00000000
71.0;-0.00003036;0.00000243;0.00000000;3.06167459
72.0;0.00000000;0.00000000;0.00000000;0.00000000
73.0;-0.00003186;0.00000066;0.00000000;3.12082767
74.0;0.00000000;0.00000000;0.00000000;0.00000000
75.0;0.00007707;0.00000425;0.00000000;0.05507182
76.0;0.00000000;0.00000000;0.00000000;0.00000000
77.0;-0.00009561;0.00000137;0.00000001;3.12725306
78.0;0.00000000;0.00000000;0.00000000;0.00000000
79.0;0.00003222;0.00000290;0.00000000;0.08984233
80.0;0.00000000;0.00000000;0.00000000;0.00000000
81.0;-0.00001873;-0.00002458;0.00000000;-2.22175598
82.0;0.00000000;0.00000000;0.00000000;0.00000000
83.0;0.00008202;-0.00000293;0.00000001;-0.03573753
