Frequency;Real;Imaginary;Amplitude;Angle
0.0;442704.00000000;0.00000000;27.02050781;0.00000000
1.0;336.01559448;-3.20918941;0.02050970;-0.00955043
2.0;336.06243896;-6.41931725;0.02051537;-0.01909924
3.0;336.14065552;-9.63097286;0.02052482;-0.02864378
4.0;336.25006104;-12.84525490;0.02053805;-0.03818293
5.0;336.39096069;-16.06278992;0.02055507;-0.04771412
6.0;336.56320190;-19.28455353;0.02057588;-0.05723588
7.0;336.76730347;-22.51128578;0.02060052;-0.06674593
8.0;337.00262451;-25.74411011;0.02062894;-0.07624334
9.0;337.26977539;-28.98336411;0.02066118;-0.08572464
10.0;337.56893921;-32.23021698;0.02069727;-0.09518889
11.0;337.90020752;-35.48558044;0.02073721;-0.10463439
12.0;338.26358032;-38.75037384;0.02078100;-0.11405953
13.0;338.65954590;-42.02524567;0.02082868;-0.12346175
14.0;339.08813477;-45.31117630;0.02088026;-0.13283961
15.0;339.54956055;-48.60923004;0.02093575;-0.14219187
16.0;340.04400635;-51.91999435;0.02099517;-0.15151590
17.0;340.57202148;-55.24478912;0.02105857;-0.16081107
18.0;341.13360596;-58.58435059;0.02112595;-0.17007528
19.0;341.72924805;-61.93944550;0.02119734;-0.17930633
20.0;342.35922241;-65.31135559;0.02127278;-0.18850356
21.0;343.02380371;-68.70095825;0.02135229;-0.19766520
22.0;343.72332764;-72.10876465;0.02143589;-0.20678841
23.0;344.45788574;-75.53665161;0.02152362;-0.21587431
24.0;345.22930908;-78.98602295;0.02161559;-0.22492166
25.0;346.03662109;-82.45573425;0.02171173;-0.23392384
26.0;346.88003540;-85.94863129;0.02181210;-0.24288462
27.0;347.76113892;-89.46524048;0.02191679;-0.25180042
28.0;348.67987061;-93.00726318;0.02202583;-0.26067191
29.0;349.63677979;-96.57563019;0.02213925;-0.26949731
30.0;350.63253784;-100.17100525;0.02225712;-0.27827403
31.0;351.66769409;-103.79499054;0.02237948;-0.28700206
32.0;352.74255371;-107.44868469;0.02250638;-0.29568020
33.0;353.85827637;-111.13317108;0.02263789;-0.30430657
34.0;355.01528931;-114.85021973;0.02277408;-0.31288168
35.0;356.21420288;-118.60073853;0.02291500;-0.32140353
36.0;357.45587158;-122.38626862;0.02306072;-0.32987165
37.0;358.74105835;-126.20817566;0.02321131;-0.33828509
38.0;360.07037354;-130.06771851;0.02336684;-0.34664279
39.0;361.44528198;-133.96630859;0.02352742;-0.35494331
40.0;362.86642456;-137.90588379;0.02369313;-0.36318707
41.0;364.33285522;-141.88781738;0.02386393;-0.37137476
42.0;365.84838867;-145.91371155;0.02404009;-0.37950301
43.0;367.41271973;-149.98474121;0.02422162;-0.38757131
44.0;369.02667236;-154.10339355;0.02440861;-0.39558119
