Frequency;Real;Imaginary;Amplitude;Angle
0.0;0.00000000;0.00000000;0.00000000;0.00000000
1.0;-0.00035378;-8192.00000000;0.50000000;-1.57079637
2.0;0.00000000;0.00000000;0.00000000;0.00000000
3.0;0.00007604;-0.00017562;0.00000001;-1.16217422
4.0;0.00000000;0.00000000;0.00000000;0.00000000
5.0;0.00000644;0.00012197;0.00000001;1.51805484
6.0;0.00000000;0.00000000;0.00000000;0.00000000
7.0;0.00001852;-0.00025827;0.00000002;-1.49920082
8.0;0.00000000;0.00000000;0.00000000;0.00000000
9.0;-0.00009942;-0.00010382;0.00000001;-2.33455920
10.0;0.00000000;0.00000000;0.00000000;0.00000000
11.0;0.00003280;-0.00000131;0.00000000;-0.03992426
12.0;0.00000000;0.00000000;0.00000000;0.00000000
13.0;0.00001653;-0.00000110;0.00000000;-0.06652807
14.0;0.00000000;0.00000000;0.00000000;0.00000000
15.0;-0.00008665;0.00003585;0.00000001;2.74926138
16.0;0.00000000;0.00000000;0.00000000;0.00000000
17.0;-0.00009025;0.00005053;0.00000001;2.63114142
18.0;0.00000000;0.00000000;0.00000000;0.00000000
19.0;0.00001033;0.00000343;0.00000000;0.32015291
20.0;0.00000000;0.00000000;0.00000000;0.00000000
21.0;0.00000016;0.00007491;0.00000000;1.56869733
22.0;0.00000000;0.00000000;0.00000000;0.00000000
23.0;0.00001601;-0.00007682;0.00000000;-1.36533642
24.0;0.00000000;0.00000000;0.00000000;0.00000000
25.0;-0.00002627;-0.00002391;0.00000000;-2.40299296
26.0;0.00000000;0.00000000;0.00000000;0.00000000
27.0;0.00000109;-0.00002489;0.00000000;-1.52689791
28.0;0.00000000;0.00000000;0.00000000;0.00000000
29.0;0.00000522;0.00003189;0.00000000;1.40857685
30.0;0.00000000;0.00000000;0.00000000;0.00000000
31.0;0.00003407;0.00012870;0.00000001;1.31202829
32.0;0.00000000;0.00000000;0.00000000;0.00000000
33.0;-0.00004235;-0.00007000;0.00000000;-2.11489344
34.0;0.00000000;0.00000000;0.00000000;0.00000000
35.0;0.00000538;-0.00010094;0.00000001;-1.51756060
36.0;0.00000000;0.00000000;0.00000000;0.00000000
37.0;0.00000546;0.00007970;0.00000000;1.50242972
38.0;0.00000000;0.00000000;0.00000000;0.00000000
39.0;0.00000421;-0.00002713;0.00000000;-1.41699219
40.0;0.00000000;0.00000000;0.00000000;0.00000000
41.0;-0.00001539;0.00000292;0.00000000;2.95421433
42.0;0.00000000;0.00000000;0.00000000;0.00000000
43.0;0.00000403;-0.00007726;0.00000000;-1.51871586
44.0;0.00000000;0.00000000;0.00000000;0.00000000
45.0;-0.00000442;-0.00004106;0.00000000;-1.67804706
46.0;0.00000000;0.00000000;0.00000000;0.00000000
47.0;-0.00001236;0.00002942;0.00000000;1.96850026
48.0;0.00000000;0.00000000;0.00000000;0.00000000
49.0;-0.00002866;0.00005666;0.00000000;2.03901339
50.0;0.00000000;0.00000000;0.00000000;0.00000000
51.0;-0.00000222;-0.00000037;0.00000000;-2.97525716
52.0;0.00000000;0.00000000;0.00000000;0.00000000
53.0;0.00000077;0.00001881;0.00000000;1.52985239
54.0;0.00000000;0.00000000;0.00000000;0.00000000
55.0;0.00001610;-0.00006271;0.00000000;-1.31949842
56.0;0.00000000;0.00000000;0.00000000;0.00000000
57.0;-0.00001246;0.00006543;0.00000000;1.75891197
58.0;0.00000000;0.00000000;0.00000000;0.00000000
59.0;0.00000250;-0.00002064;0.00000000;-1.45037305
60.0;0.00000000;0.00000000;0.00000000;0.00000000
61.0;-0.00000358;0.00000609;0.00000000;2.10199738
62.0;0.00000000;0.00000000;0.00000000;0.00000000
63.0;-0.00000023;-0.00009788;0.00000001;-1.57319295
64.0;0.00000000;0.00000000;0.00000000;0.00000000
65.0;-0.00002412;-0.00002891;0.00000000;-2.26603436
66.0;0.00000000;0.00000000;0.00000000;0.00000000
67.0;0.00000010;-0.00001544;0.00000000;-1.56413043
68.0;0.00000000;0.00000000;0.00000000;0.00000000
69.0;-0.00000511;-0.00003795;0.00000000;-1.70465875
70.0;0.00000000;0.00000000;0.00000000;0.00000000
71.0;0.00000465;-0.00003635;0.00000000;-1.44348657
72.0;0.00000000;0.00000000;0.00000000;0.00000000
73.0;-0.00000082;0.00005141;0.00000000;1.58668840
74.0;0.00000000;0.00000000;0.00000000;0.00000000
75.0;-0.00000644;0.00007373;0.00000000;1.65796983
76.0;0.00000000;0.00000000;0.00000000;0.00000000
77.0;-0.00000216;0.00009145;0.00000001;1.59436285
78.0;0.00000000;0.00000000;0.00000000;0.00000000
79.0;-0.00000393;0.00003437;0.00000000;1.68470013
80.0;0.00000000;0.00000000;0.00000000;0.00000000
81.0;-0.00003337;0.00002977;0.00000000;2.41313958
82.0;0.00000000;0.00000000;0.00000000;0.00000000
83.0;-0.00000051;0.00007534;0.00000000;1.57756186
84.0;0.00000000;0.00000000;0.00000000;0.00000000
85.0;-0.00000502;0.00001908;0.00000000;1.82803297
86.0;0.00000000;0.00000000;0.00000000;0.00000000
87.0;0.00000304;0.00001096;0.00000000;1.30045354
88.0;0.00000000;0.00000000;0.00000000;0.00000000
89.0;-0.00000090;0.00004547;0.00000000;1.59065270
90.0;0.00000000;0.00000000;0.00000000;0.00000000
91.0;0.00000489;-0.00001975;0.00000000;-1.32802486
92.0;0.00000000;0.00000000;0.00000000;0.00000000
93.0;-0.00000506;0.00001826;0.00000000;1.84103024
94.0;0.00000000;0.00000000;0.00000000;0.00000000
95.0;0.00000330;0.00008748;0.00000001;1.53310156
96.0;0.00000000;0.00000000;0.00000000;0.00000000
