Frequency;Real;Imaginary;Amplitude;Angle
0.0;0.00000000;0.00000000;0.00000000;0.00000000
1.0;0.00000000;0.00000000;0.00000000;0.00000000
2.0;0.00000591;0.00005159;0.00000000;1.45678782
3.0;0.00000000;0.00000000;0.00000000;0.00000000
4.0;0.00000000;0.00000000;0.00000000;0.00000000
5.0;0.00000000;0.00000000;0.00000000;0.00000000
6.0;0.00000759;-0.00001859;0.00000000;-1.18294489
7.0;0.00000000;0.00000000;0.00000000;0.00000000
8.0;0.00000000;0.00000000;0.00000000;0.00000000
9.0;0.00000000;0.00000000;0.00000000;0.00000000
10.0;0.00001217;0.00003803;0.00000000;1.26118970
11.0;0.00000000;0.00000000;0.00000000;0.00000000
12.0;0.00000000;0.00000000;0.00000000;0.00000000
13.0;0.00000000;0.00000000;0.00000000;0.00000000
14.0;-0.00009836;0.00003406;0.00000001;2.80827594
15.0;0.00000000;0.00000000;0.00000000;0.00000000
16.0;0.00000000;0.00000000;0.00000000;0.00000000
17.0;0.00000000;0.00000000;0.00000000;0.00000000
18.0;0.00007176;0.00004024;0.00000001;0.51104051
19.0;0.00000000;0.00000000;0.00000000;0.00000000
20.0;0.00000000;0.00000000;0.00000000;0.00000000
21.0;0.00000000;0.00000000;0.00000000;0.00000000
22.0;0.00000140;0.00016346;0.00000001;1.56225359
23.0;0.00000000;0.00000000;0.00000000;0.00000000
24.0;0.00000000;0.00000000;0.00000000;0.00000000
25.0;0.00000000;0.00000000;0.00000000;0.00000000
26.0;0.00001475;-0.00004013;0.00000000;-1.21856034
27.0;0.00000000;0.00000000;0.00000000;0.00000000
28.0;0.00000000;0.00000000;0.00000000;0.00000000
29.0;0.00000000;0.00000000;0.00000000;0.00000000
30.0;-0.00001582;0.00006837;0.00000000;1.79815781
31.0;0.00000000;0.00000000;0.00000000;0.00000000
32.0;0.00000000;0.00000000;0.00000000;0.00000000
33.0;0.00000000;0.00000000;0.00000000;0.00000000
34.0;0.00005685;-0.00009896;0.00000001;-1.04933727
35.0;0.00000000;0.00000000;0.00000000;0.00000000
36.0;0.00000000;0.00000000;0.00000000;0.00000000
37.0;0.00000000;0.00000000;0.00000000;0.00000000
38.0;0.00000358;0.00007937;0.00000000;1.52568376
39.0;0.00000000;0.00000000;0.00000000;0.00000000
40.0;0.00000000;0.00000000;0.00000000;0.00000000
41.0;0.00000000;0.00000000;0.00000000;0.00000000
42.0;0.00004227;0.00002133;0.00000000;0.46739078
43.0;0.00000000;0.00000000;0.00000000;0.00000000
44.0;0.00000000;0.00000000;0.00000000;0.00000000
45.0;0.00000000;0.00000000;0.00000000;0.00000000
46.0;0.00002104;0.00016980;0.00000001;1.44750321
47.0;0.00000000;0.00000000;0.00000000;0.00000000
