Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05819702;-1.30467618;0.00519215;-0.01533743
2.0;85.14092255;-2.61247969;0.00519904;-0.03067456
3.0;85.27922058;-3.92668152;0.00521055;-0.04601250
4.0;85.47373962;-5.25040960;0.00522674;-0.06135008
5.0;85.72545624;-6.58699226;0.00524769;-0.07668754
6.0;86.03550720;-7.93985081;0.00527350;-0.09202509
7.0;86.40545654;-9.31254768;0.00530431;-0.10736288
8.0;86.83712769;-10.70873737;0.00534027;-0.12270030
9.0;87.33270264;-12.13237000;0.00538155;-0.13803779
10.0;87.89469147;-13.58757114;0.00542839;-0.15337512
11.0;88.52601624;-15.07886314;0.00548102;-0.16871336
12.0;89.23014832;-16.61090279;0.00553974;-0.18405119
13.0;90.01091766;-18.18888092;0.00560488;-0.19938914
14.0;90.87266541;-19.81838989;0.00567680;-0.21472745
15.0;91.82077026;-21.50549126;0.00575595;-0.23006471
16.0;92.86064911;-23.25703049;0.00584282;-0.24540296
17.0;93.99900055;-25.08036804;0.00593795;-0.26074111
18.0;95.24327087;-26.98370171;0.00604199;-0.27607864
19.0;96.60196686;-28.97650909;0.00615565;-0.29141805
20.0;98.08479309;-31.06874466;0.00627977;-0.30675563
21.0;99.70298004;-33.27238464;0.00641530;-0.32209405
22.0;101.46932983;-35.60063171;0.00656332;-0.33743289
23.0;103.39862061;-38.06852341;0.00672509;-0.35277149
24.0;105.50799561;-40.69348526;0.00690207;-0.36811051
25.0;107.81735229;-43.49541855;0.00709596;-0.38344911
26.0;110.34992981;-46.49765015;0.00730872;-0.39878815
27.0;113.13302612;-49.72731018;0.00754269;-0.41412750
28.0;116.19909668;-53.21638107;0.00780062;-0.42946681
29.0;119.58651733;-57.00276947;0.00808578;-0.44480637
30.0;123.34140015;-61.13186646;0.00840208;-0.46014661
31.0;127.51973724;-65.65824890;0.00875430;-0.47548613
32.0;132.18945312;-70.64859009;0.00914821;-0.49082592
33.0;137.43444824;-76.18486023;0.00959094;-0.50616610
34.0;143.35946655;-82.36907196;0.01009142;-0.52150595
35.0;150.09664917;-89.33029175;0.01066089;-0.53684705
36.0;157.81518555;-97.23306274;0.01131374;-0.55218804
37.0;166.73564148;-106.29191589;0.01206873;-0.56752884
38.0;177.15034485;-116.79139709;0.01295075;-0.58287019
39.0;189.45578003;-129.11694336;0.01399352;-0.59821182
40.0;204.20300293;-143.80410767;0.01524395;-0.61355346
41.0;222.18109131;-161.61996460;0.01676917;-0.62889552
42.0;244.56185913;-183.70286560;0.01866890;-0.64423728
43.0;273.16235352;-211.81909180;0.02109778;-0.65958053
44.0;310.96215820;-248.86276245;0.02430933;-0.67492336
45.0;363.20672607;-299.93060303;0.02874992;-0.69026685
46.0;440.07031250;-374.90682983;0.03528534;-0.70561045
47.0;564.22027588;-495.81317139;0.04584448;-0.72095454
48.0;798.48364258;-723.68603516;0.06577364;-0.73629886
49.0;1405.50952148;-1313.68896484;0.11742307;-0.75164348
50.0;6725.25878906;-6482.09423828;0.57010448;-0.76698893
51.0;-2287.88476562;2273.90966797;0.19688055;2.35925794
52.0;-955.09387207;978.84918213;0.08347213;2.34391165
53.0;-594.39941406;628.18725586;0.05278500;2.32856512
54.0;-426.52664185;464.85900879;0.03850631;2.31321788
55.0;-329.49414062;370.35913086;0.03025598;2.29786992
56.0;-266.28985596;308.73010254;0.02488443;2.28252149
57.0;-221.86004639;265.34722900;0.02111067;2.26717234
58.0;-188.92842102;233.14126587;0.01831551;2.25182271
59.0;-163.54763794;208.27752686;0.01616307;2.23647165
60.0;-143.39144897;188.49536133;0.01445536;2.22112060
61.0;-126.99947357;172.37615967;0.01306814;2.20576835
62.0;-113.40886688;158.98448181;0.01191947;2.19041467
63.0;-101.95935059;147.67829895;0.01095315;2.17506051
64.0;-92.18243408;138.00244141;0.01012931;2.15970540
65.0;-83.73691559;129.62524414;0.00941893;2.14434910
66.0;-76.36824036;122.29912567;0.00880033;2.12899160
67.0;-69.88276672;115.83592224;0.00825704;2.11363220
68.0;-64.13033295;110.08923340;0.00777626;2.09827161
69.0;-58.99298096;104.94422913;0.00734795;2.08290958
70.0;-54.37644958;100.30912781;0.00696409;2.06754541
71.0;-50.20489883;96.10980225;0.00661820;2.05217957
72.0;-46.41619492;92.28551483;0.00630499;2.03681159
73.0;-42.95919800;88.78613281;0.00602008;2.02144098
74.0;-39.79144669;85.56983185;0.00575984;2.00606823
75.0;-36.87712479;82.60136414;0.00552121;1.99069154
76.0;-34.18622589;79.85065460;0.00530157;1.97531259
77.0;-31.69286728;77.29205322;0.00509872;1.95992815
78.0;-29.37526894;74.90281677;0.00491071;1.94454181
79.0;-27.21433640;72.66405487;0.00473591;1.92914844
80.0;-25.19365120;70.55770111;0.00457280;1.91375077
81.0;-23.29879761;68.56840515;0.00442008;1.89834583
82.0;-21.51725388;66.68165588;0.00427657;1.88293409
83.0;-19.83778000;64.88429260;0.00414118;1.86751163
84.0;-18.25060654;63.16303635;0.00401287;1.85207975
85.0;-16.74685287;61.50551224;0.00389067;1.83663404
86.0;-15.31860638;59.89847946;0.00377358;1.82117271
87.0;-13.95866585;58.32801819;0.00366058;1.80569184
88.0;-12.66034794;56.77828598;0.00355058;1.79018605
89.0;-11.41746140;55.23077393;0.00344229;1.77464771
90.0;-10.22410774;53.66221619;0.00333420;1.75906694
91.0;-9.07442474;52.04197693;0.00322432;1.74342811
92.0;-7.96244621;50.32745743;0.00310995;1.72770846
93.0;-6.88140678;48.45553589;0.00298717;1.71186781
94.0;-5.82322025;46.32676697;0.00284981;1.69583929
95.0;-4.77661991;43.77198792;0.00268749;1.67949128
96.0;-3.72349811;40.47472000;0.00248081;1.66253376
97.0;-2.62869310;35.76134109;0.00218859;1.64417088
98.0;-1.40573478;27.89039421;0.00170446;1.62115586
99.0;0.25309777;10.52909660;0.00064283;1.54676306
100.0;5.02510691;-71.79829407;0.00439294;-1.50092101
101.0;-6.48993111;183.27020264;0.01119294;1.60619330
102.0;-1.41808677;94.04370117;0.00574062;1.58587420
103.0;0.19481540;76.26794434;0.00465504;1.56824195
104.0;1.31554127;68.45846558;0.00417914;1.55158210
105.0;2.26638460;63.96996689;0.00390687;1.53538227
106.0;3.13578820;61.00336075;0.00372827;1.51943803
107.0;3.95893931;58.86914444;0.00360120;1.50364757
108.0;4.75295687;57.24627686;0.00350606;1.48795986
109.0;5.52793884;55.96504974;0.00343246;1.47234082
110.0;6.29031992;54.92752457;0.00337442;1.45677269
111.0;7.04493427;54.07340622;0.00332827;1.44124138
112.0;7.79547596;53.36352539;0.00329162;1.42573988
113.0;8.54528713;52.77166748;0.00326288;1.41026032
